Initialzing...
Initializing data source...
Loading training data...
Data initialization complete.
Initializing model...
Model initialization complete.
Training START
iter 13700:, hard_loss_metric=0.33303618, full_loss_metric=0.18729907, full_loss_num=7768.17919922, mean_dist=2.57699370, lr=0.000100, hard or full='full'
iter 13800:, hard_loss_metric=0.33078653, full_loss_metric=0.18562938, full_loss_num=7617.38867188, mean_dist=2.57722831, lr=0.000100, hard or full='full'
iter 13900:, hard_loss_metric=0.34259921, full_loss_metric=0.18793556, full_loss_num=8154.80273438, mean_dist=2.56276059, lr=0.000100, hard or full='full'
0:04:21.623002
iter 14000:, hard_loss_metric=0.33670247, full_loss_metric=0.18751357, full_loss_num=7873.58496094, mean_dist=2.56151724, lr=0.000100, hard or full='full'
iter 14100:, hard_loss_metric=0.33497584, full_loss_metric=0.18736596, full_loss_num=7718.16601562, mean_dist=2.58678508, lr=0.000100, hard or full='full'
iter 14200:, hard_loss_metric=0.33108771, full_loss_metric=0.18718906, full_loss_num=7358.09960938, mean_dist=2.60218477, lr=0.000100, hard or full='full'
iter 14300:, hard_loss_metric=0.33541030, full_loss_metric=0.18953486, full_loss_num=7578.24169922, mean_dist=2.61492825, lr=0.000100, hard or full='full'
iter 14400:, hard_loss_metric=0.32772923, full_loss_metric=0.18756464, full_loss_num=7515.90625000, mean_dist=2.60922813, lr=0.000100, hard or full='full'
iter 14500:, hard_loss_metric=0.33070451, full_loss_metric=0.18610799, full_loss_num=7435.60107422, mean_dist=2.63060546, lr=0.000100, hard or full='full'
iter 14600:, hard_loss_metric=0.33218274, full_loss_metric=0.18621393, full_loss_num=7552.93017578, mean_dist=2.61995029, lr=0.000100, hard or full='full'
iter 14700:, hard_loss_metric=0.32433036, full_loss_metric=0.18863814, full_loss_num=7066.83056641, mean_dist=2.67163086, lr=0.000100, hard or full='full'
iter 14800:, hard_loss_metric=0.32897022, full_loss_metric=0.18847406, full_loss_num=7271.39697266, mean_dist=2.64610386, lr=0.000100, hard or full='full'
iter 14900:, hard_loss_metric=0.33813110, full_loss_metric=0.18898630, full_loss_num=7784.80322266, mean_dist=2.59747744, lr=0.000100, hard or full='full'
0:04:19.404573
iter 15000:, hard_loss_metric=0.31975746, full_loss_metric=0.18736464, full_loss_num=6852.66357422, mean_dist=2.67334318, lr=0.000100, hard or full='full'
iter 15100:, hard_loss_metric=0.32436210, full_loss_metric=0.18815076, full_loss_num=7011.98828125, mean_dist=2.67098212, lr=0.000100, hard or full='full'
iter 15200:, hard_loss_metric=0.32877004, full_loss_metric=0.18883227, full_loss_num=7294.81542969, mean_dist=2.65830803, lr=0.000100, hard or full='full'
iter 15300:, hard_loss_metric=0.31810987, full_loss_metric=0.18550251, full_loss_num=6972.39453125, mean_dist=2.67467928, lr=0.000100, hard or full='full'
iter 15400:, hard_loss_metric=0.32302865, full_loss_metric=0.18844071, full_loss_num=6874.06835938, mean_dist=2.70539546, lr=0.000100, hard or full='full'
iter 15500:, hard_loss_metric=0.32200190, full_loss_metric=0.18981135, full_loss_num=6970.45751953, mean_dist=2.71354461, lr=0.000100, hard or full='full'
iter 15600:, hard_loss_metric=0.32689908, full_loss_metric=0.18802530, full_loss_num=7053.77148438, mean_dist=2.69874096, lr=0.000100, hard or full='full'
iter 15700:, hard_loss_metric=0.32611558, full_loss_metric=0.18827568, full_loss_num=7284.72802734, mean_dist=2.67586756, lr=0.000100, hard or full='full'
iter 15800:, hard_loss_metric=0.31908605, full_loss_metric=0.18554784, full_loss_num=6898.35742188, mean_dist=2.67529869, lr=0.000100, hard or full='full'
iter 15900:, hard_loss_metric=0.31364861, full_loss_metric=0.18830980, full_loss_num=6633.65429688, mean_dist=2.73079872, lr=0.000100, hard or full='full'
0:04:23.413101
iter 16000:, hard_loss_metric=0.32285735, full_loss_metric=0.18814068, full_loss_num=7098.36914062, mean_dist=2.69152546, lr=0.000100, hard or full='full'
iter 16100:, hard_loss_metric=0.31710815, full_loss_metric=0.18626736, full_loss_num=6763.32763672, mean_dist=2.69856548, lr=0.000100, hard or full='full'
iter 16200:, hard_loss_metric=0.32079151, full_loss_metric=0.18729311, full_loss_num=7026.58203125, mean_dist=2.71712041, lr=0.000100, hard or full='full'
iter 16300:, hard_loss_metric=0.31624803, full_loss_metric=0.18876199, full_loss_num=6590.75292969, mean_dist=2.75340796, lr=0.000100, hard or full='full'
iter 16400:, hard_loss_metric=0.30956268, full_loss_metric=0.18749951, full_loss_num=6391.84570312, mean_dist=2.76148891, lr=0.000100, hard or full='full'
iter 16500:, hard_loss_metric=0.31546295, full_loss_metric=0.18716671, full_loss_num=6683.52392578, mean_dist=2.73890471, lr=0.000100, hard or full='full'
iter 16600:, hard_loss_metric=0.32180095, full_loss_metric=0.19006659, full_loss_num=6983.78320312, mean_dist=2.73764825, lr=0.000100, hard or full='full'
iter 16700:, hard_loss_metric=0.30672151, full_loss_metric=0.18738462, full_loss_num=6201.06396484, mean_dist=2.77270651, lr=0.000100, hard or full='full'
iter 16800:, hard_loss_metric=0.31314462, full_loss_metric=0.18853550, full_loss_num=6793.70605469, mean_dist=2.76515388, lr=0.000100, hard or full='full'
iter 16900:, hard_loss_metric=0.31611213, full_loss_metric=0.18775743, full_loss_num=6510.49169922, mean_dist=2.75190115, lr=0.000100, hard or full='full'
0:04:20.908254
iter 17000:, hard_loss_metric=0.31276467, full_loss_metric=0.18748052, full_loss_num=6477.25976562, mean_dist=2.76546383, lr=0.000100, hard or full='full'
iter 17100:, hard_loss_metric=0.30804121, full_loss_metric=0.18734407, full_loss_num=6395.06494141, mean_dist=2.75797749, lr=0.000100, hard or full='full'
iter 17200:, hard_loss_metric=0.31480172, full_loss_metric=0.18796448, full_loss_num=6664.22802734, mean_dist=2.76483345, lr=0.000100, hard or full='full'
iter 17300:, hard_loss_metric=0.31353873, full_loss_metric=0.18941861, full_loss_num=6441.92041016, mean_dist=2.79056120, lr=0.000100, hard or full='full'
iter 17400:, hard_loss_metric=0.30444354, full_loss_metric=0.18877839, full_loss_num=6217.05859375, mean_dist=2.80123067, lr=0.000100, hard or full='full'
